"","datayear","region","districttype","district","free","sped","lep","enrll"
"1351","07-08","Twin Cities","Charter","HEART OF THE EARTH CHARTER",172,27,0,192
"1352","07-08","Twin Cities","Charter","HIAWATHA LEADERSHIP ACADEMY",131,5,43,145
"1353","07-08","Twin Cities","Charter","HIGH SCHOOL FOR RECORDING ARTS",125,45,0,176
"1354","07-08","Twin Cities","Charter","HIGHER GROUND ACADEMY",483,19,152,514
"1355","07-08","Twin Cities","Charter","HMONG ACADEMY",393,30,354,440
"1356","07-08","Twin Cities","Charter","HOPE COMMUNITY ACADEMY",400,37,292,455
"1357","07-08","Twin Cities","Charter","INTERNATIONAL SPANISH LANGUAGE ACAD",9,4,0,71
"1358","07-08","Twin Cities","Charter","JENNINGS COMMUNITY LEARNING CENTER",33,11,0,74
"1359","07-08","Twin Cities","Charter","LAKES INTERNATIONAL LANGUAGE ADMY",41,3,0,444
"1360","07-08","Twin Cities","Charter","LEARNING FOR LEADERSHIP CHARTER",125,20,15,167
"1361","07-08","Twin Cities","Charter","LIBERTY HIGH SCHOOL",13,40,0,192
"1362","07-08","Twin Cities","Charter","LIGHTHOUSE ACADEMY OF NATIONS",201,9,197,202
"1363","07-08","Twin Cities","Charter","LINCOLN INTERNATIONAL SCHOOL",158,2,150,158
"1364","07-08","Twin Cities","Charter","LONG TIENG ACADEMY",34,6,36,41
"1365","07-08","Twin Cities","Charter","LOVEWORKS ACADEMY FOR ARTS",8,20,0,362
"1366","07-08","Twin Cities","Charter","MAIN STREET SCHOOL PERFORMING ARTS",42,42,0,222
"1367","07-08","Twin Cities","Charter","MATH & SCIENCE ACADEMY",3,23,0,312
"1368","07-08","Twin Cities","Charter","METRO DEAF SCHOOL",10,48,0,48
"1369","07-08","Twin Cities","Charter","MINNEAPOLIS ACADEMY CHARTER SCHOOL",100,16,42,124
"1370","07-08","Twin Cities","Charter","MINNESOTA INTERNSHIP CENTER",424,23,174,424
"1371","07-08","Twin Cities","Charter","MINNESOTA NORTH STAR ACADEMY",5,31,0,31
"1372","07-08","Twin Cities","Charter","MINNESOTA ONLINE HIGH SCHOOL",7,10,0,118
"1373","07-08","Twin Cities","Charter","MINNESOTA TRANSITIONS CHARTER SCH",1141,138,96,1806
"1374","07-08","Twin Cities","Charter","MN INTERNATIONAL MIDDLE CHARTER",331,25,318,338
"1375","07-08","Twin Cities","Charter","NEW CITY SCHOOL",71,15,0,121
"1376","07-08","Twin Cities","Charter","NEW HEIGHTS SCHOOL, INC.",59,37,0,124
"1377","07-08","Twin Cities","Charter","NEW MILLENNIUM ACADEMY CHARTER SCH",202,31,246,376
"1378","07-08","Twin Cities","Charter","NEW SPIRIT SCHOOLS",268,35,199,308
"1379","07-08","Twin Cities","Charter","NEW VISIONS CHARTER SCHOOL",211,56,101,236
"1380","07-08","Twin Cities","Charter","NOBLE ACADEMY",183,13,212,213
"1381","07-08","Twin Cities","Charter","NORTH LAKES ACADEMY",35,30,0,179
"1382","07-08","Twin Cities","Charter","NORTHWEST PASSAGE HIGH SCHOOL",42,24,0,147
"1383","07-08","Twin Cities","Charter","NOVA CLASSICAL ACADEMY",53,30,0,356
"1384","07-08","Twin Cities","Charter","ODYSSEY CHARTER SCHOOL",112,31,2,159
"1385","07-08","Twin Cities","Charter","PACT CHARTER SCHOOL",89,112,0,570
"1386","07-08","Twin Cities","Charter","PAIDEIA ACADEMY CHARTER SCHOOL",39,47,2,339
"1387","07-08","Twin Cities","Charter","PARTNERSHIP ACADEMY, INC.",252,18,189,257
"1388","07-08","Twin Cities","Charter","PRAIRIE CREEK COMMUNITY SCHOOL",16,14,1,120
"1389","07-08","Twin Cities","Charter","PRAIRIE SEEDS ACADEMY",298,7,256,345
"1390","07-08","Twin Cities","Charter","RIVER HEIGHTS CHARTER SCHOOL",20,18,0,83
"1391","07-08","Twin Cities","Charter","SAGE ACADEMY CHARTER SCHOOL",18,0,0,62
"1392","07-08","Twin Cities","Charter","SEVEN HILLS CLASSICAL ACADEMY",51,28,0,267
"1393","07-08","Twin Cities","Charter","SKILLS FOR TOMORROW CHARTER SCHOOL",32,20,0,78
"1394","07-08","Twin Cities","Charter","SOBRIETY HIGH",13,45,0,172
"1395","07-08","Twin Cities","Charter","SOJOURNER TRUTH ACADEMY",244,28,57,261
"1396","07-08","Twin Cities","Charter","SOUTHSIDE FAMILY CHARTER SCHOOL",63,6,0,94
"1397","07-08","Twin Cities","Charter","SPECTRUM HIGH SCHOOL",12,15,0,118
"1398","07-08","Twin Cities","Charter","ST PAUL CONSERVATORY PERFORMING ART",2,21,0,348
"1399","07-08","Twin Cities","Charter","ST. CROIX PREPARATORY ACADEMY",0,33,3,439
"1400","07-08","Twin Cities","Charter","STONEBRIDGE COMMUNITY SCHOOL",104,15,0,133
"1401","07-08","Twin Cities","Charter","TAREK IBN ZIYAD ACADEMY",349,12,301,431
"1402","07-08","Twin Cities","Charter","TWIN CITIES ACADEMY",20,6,3,189
"1403","07-08","Twin Cities","Charter","TWIN CITIES ACADEMY HIGH SCHOOL",11,8,0,80
"1404","07-08","Twin Cities","Charter","TWIN CITIES GERMAN IMMERSION CHRTR",10,13,1,126
"1405","07-08","Twin Cities","Charter","TWIN CITIES INTERNATIONAL ELEM SCH.",545,33,549,557
"1406","07-08","Twin Cities","Charter","UBAH MEDICAL ACADEMY CHARTER SCHOOL",284,8,267,288
"1407","07-08","Twin Cities","Charter","URBAN ACADEMY CHARTER SCHOOL",257,39,76,261
"1408","07-08","Twin Cities","Charter","WATERSHED HIGH SCHOOL",22,12,0,83
"1409","07-08","Twin Cities","Charter","WOODSON INSTITUTE FOR EXCELLENCE CH",227,31,0,260
"1410","07-08","Twin Cities","Charter","WORLD LEARNER CHARTER SCHOOL",0,20,0,166
"1411","07-08","Twin Cities","Charter","YINGHUA ACADEMY",8,7,4,144
"1412","07-08","Twin Cities","Correctional Facilities","MINNESOTA DEPARTMENT OF CORRECTIONS",218,139,0,218
"1413","07-08","Twin Cities","Independent","ANOKA-HENNEPIN PUBLIC SCHOOL DIST.",9988,4658,3004,40015
"1414","07-08","Twin Cities","Independent","BELLE PLAINE PUBLIC SCHOOL DISTRICT",215,187,30,1497
"1415","07-08","Twin Cities","Independent","BLOOMINGTON PUBLIC SCHOOL DISTRICT",3140,1267,1092,10281
"1416","07-08","Twin Cities","Independent","BROOKLYN CENTER SCHOOL DISTRICT",1236,195,430,1755
"1417","07-08","Twin Cities","Independent","BURNSVILLE PUBLIC SCHOOL DISTRICT",2874,1207,1452,10203
"1418","07-08","Twin Cities","Independent","CENTENNIAL PUBLIC SCHOOL DISTRICT",852,856,69,6832
"1419","07-08","Twin Cities","Independent","COLUMBIA HEIGHTS PUBLIC SCHOOL DIST",1869,408,738,2929
"1420","07-08","Twin Cities","Independent","DISTRICT 112",1284,905,618,8693
"1421","07-08","Twin Cities","Independent","EDEN PRAIRIE PUBLIC SCHOOL DISTRICT",1239,905,481,9781
"1422","07-08","Twin Cities","Independent","EDINA PUBLIC SCHOOL DISTRICT",535,720,235,7691
"1423","07-08","Twin Cities","Independent","FARMINGTON PUBLIC SCHOOL DISTRICT",849,662,215,6190
"1424","07-08","Twin Cities","Independent","FOREST LAKE PUBLIC SCHOOL DISTRICT",1364,852,94,7113
"1425","07-08","Twin Cities","Independent","FRIDLEY PUBLIC SCHOOL DISTRICT",1252,345,381,2693
"1426","07-08","Twin Cities","Independent","HASTINGS PUBLIC SCHOOL DISTRICT",794,512,55,4871
"1427","07-08","Twin Cities","Independent","HOPKINS PUBLIC SCHOOL DISTRICT",1947,885,437,7558
"1428","07-08","Twin Cities","Independent","INVER GROVE HEIGHTS SCHOOLS",908,531,170,3641
"1429","07-08","Twin Cities","Independent","JORDAN PUBLIC SCHOOL DISTRICT",339,202,44,1551
"1430","07-08","Twin Cities","Independent","LAKEVILLE PUBLIC SCHOOL DISTRICT",743,1316,273,11185
"1431","07-08","Twin Cities","Independent","MAHTOMEDI PUBLIC SCHOOL DISTRICT",238,290,43,3092
"1432","07-08","Twin Cities","Independent","MINNETONKA PUBLIC SCHOOL DISTRICT",434,842,133,7887
"1433","07-08","Twin Cities","Independent","MOUNDS VIEW PUBLIC SCHOOL DISTRICT",2216,1129,402,9995
"1434","07-08","Twin Cities","Independent","NEW PRAGUE AREA SCHOOLS",341,348,38,3526
"1435","07-08","Twin Cities","Independent","NORTH ST PAUL-MAPLEWOOD SCHOOL DIST",3545,1325,630,10749
"1436","07-08","Twin Cities","Independent","NORWOOD PUBLIC SCHOOL DISTRICT",193,113,28,1040
"1437","07-08","Twin Cities","Independent","ORONO PUBLIC SCHOOL DISTRICT",146,259,27,2644
"1438","07-08","Twin Cities","Independent","OSSEO PUBLIC SCHOOL DISTRICT",6703,2592,2092,21492
"1439","07-08","Twin Cities","Independent","PRIOR LAKE-SAVAGE AREA SCHOOLS",474,629,212,6760
"1440","07-08","Twin Cities","Independent","RANDOLPH PUBLIC SCHOOL DISTRICT",58,49,1,511
"1441","07-08","Twin Cities","Independent","RICHFIELD PUBLIC SCHOOL DISTRICT",2291,462,1183,4064
"1442","07-08","Twin Cities","Independent","ROBBINSDALE PUBLIC SCHOOL DISTRICT",4831,1522,1487,12730
"1443","07-08","Twin Cities","Independent","ROSEMOUNT-APPLE VALLEY-EAGAN",4088,3978,1320,27456
"1444","07-08","Twin Cities","Independent","ROSEVILLE PUBLIC SCHOOL DISTRICT",2124,731,700,6417
"1445","07-08","Twin Cities","Independent","SHAKOPEE PUBLIC SCHOOL DISTRICT",1637,701,808,6139
"1446","07-08","Twin Cities","Independent","SOUTH WASHINGTON COUNTY SCHOOL DIST",2235,1921,635,16450
"1447","07-08","Twin Cities","Independent","SPRING LAKE PARK PUBLIC SCHOOLS",1343,523,362,4589
"1448","07-08","Twin Cities","Independent","ST. ANTHONY-NEW BRIGHTON SCHOOLS",261,157,86,1731
"1449","07-08","Twin Cities","Independent","ST. FRANCIS PUBLIC SCHOOL DISTRICT",1244,579,167,5787
"1450","07-08","Twin Cities","Independent","ST. LOUIS PARK PUBLIC SCHOOL DIST.",1138,565,282,4177
"1451","07-08","Twin Cities","Independent","ST. PAUL PUBLIC SCHOOL DISTRICT",27615,6193,14618,39050
"1452","07-08","Twin Cities","Independent","STILLWATER AREA PUBLIC SCHOOL DIST.",977,943,96,8547
"1453","07-08","Twin Cities","Independent","WACONIA PUBLIC SCHOOL DISTRICT",225,309,15,2933
"1454","07-08","Twin Cities","Independent","WATERTOWN-MAYER PUBLIC SCHOOL DIST.",242,176,9,1627
"1455","07-08","Twin Cities","Independent","WAYZATA PUBLIC SCHOOL DISTRICT",1208,756,230,9877
"1456","07-08","Twin Cities","Independent","WEST ST. PAUL-MENDOTA HTS.-EAGAN",1476,639,342,4418
"1457","07-08","Twin Cities","Independent","WESTONKA PUBLIC SCHOOL DISTRICT",326,308,13,2240
"1458","07-08","Twin Cities","Independent","WHITE BEAR LAKE SCHOOL DISTRICT",1989,973,375,8347
"1459","07-08","Twin Cities","Intermediate","INTERMEDIATE SCHOOL DISTRICT 287",353,701,49,1654
"1460","07-08","Twin Cities","Intermediate","INTERMEDIATE SCHOOL DISTRICT 917",117,375,1,621
"1461","07-08","Twin Cities","Intermediate","N.E. METRO INTERMEDIATE DIST. 916",240,409,3,650
"1462","07-08","Twin Cities","Secondary Facilities","EAST METRO INTEGRATION DISTRICT",377,128,88,934
"1463","07-08","Twin Cities","Secondary Facilities","METROPOLITAN LEARNING ALLIANCE",0,0,0,60
"1464","07-08","Twin Cities","Secondary Facilities","VALLEY CROSSING COMMUNITY SCHOOL",30,85,14,767
"1465","07-08","Twin Cities","Secondary Facilities","WEST METRO EDUCATION PROGRAM",323,94,0,982
"1466","07-08","Twin Cities","Special","MINNEAPOLIS PUBLIC SCHOOL DIST.",21909,5170,7797,34314
"1467","07-08","Twin Cities","Special","SOUTH ST. PAUL PUBLIC SCHOOL DIST.",1206,414,261,3255
"1468","07-08","Twin Cities","Sped Coops","MN RIVER VALLEY SPECIAL ED. COOP.",62,171,0,171
"1469","07-08","Twin Cities","State Operated","PERPICH CENTER FOR ARTS EDUCATION",27,13,1,283
"1470","07-08","Twin Cities","Voc and Sped","CARVER-SCOTT EDUCATIONAL COOP.",118,140,0,388
"1471","07-08","Upper Minnesota Valley","Charter","CLARKFIELD CHARTER SCHOOL",42,13,0,61
"1472","07-08","Upper Minnesota Valley","Charter","E.C.H.O. CHARTER SCHOOL",90,39,0,174
"1473","07-08","Upper Minnesota Valley","Ed Districts","MN RIVER VALLEY EDUCATION DISTRICT",30,29,0,125
"1474","07-08","Upper Minnesota Valley","Independent","BELLINGHAM PUBLIC SCHOOL DISTRICT",35,5,2,60
"1475","07-08","Upper Minnesota Valley","Independent","BENSON PUBLIC SCHOOL DISTRICT",287,141,8,992
"1476","07-08","Upper Minnesota Valley","Independent","CANBY PUBLIC SCHOOL DISTRICT",220,69,5,535
"1477","07-08","Upper Minnesota Valley","Independent","CLINTON-GRACEVILLE-BEARDSLEY",170,49,0,392
"1478","07-08","Upper Minnesota Valley","Independent","DAWSON-BOYD PUBLIC SCHOOL DISTRICT",183,77,0,500
"1479","07-08","Upper Minnesota Valley","Independent","KERKHOVEN-MURDOCK-SUNBURG",180,86,15,530
"1480","07-08","Upper Minnesota Valley","Independent","LAC QUI PARLE VALLEY SCHOOL DIST.",324,120,33,921
"1481","07-08","Upper Minnesota Valley","Independent","M.A.C.C.R.A.Y. SCHOOL DISTRICT",239,124,3,698
"1482","07-08","Upper Minnesota Valley","Independent","MONTEVIDEO PUBLIC SCHOOL DISTRICT",501,207,53,1388
"1483","07-08","Upper Minnesota Valley","Independent","ORTONVILLE PUBLIC SCHOOL DISTRICT",212,74,3,515
"1484","07-08","Upper Minnesota Valley","Independent","YELLOW MEDICINE EAST",409,181,53,930
"1485","07-08","West Central","Charter","GLACIAL HILLS ELEMENTARY",35,10,0,82
"1486","07-08","West Central","Charter","LAKES AREA CHARTER SCHOOL",24,22,0,59
"1487","07-08","West Central","Ed Districts","RUNESTONE AREA ED. DISTRICT",62,44,0,123
"1488","07-08","West Central","Independent","ALEXANDRIA PUBLIC SCHOOL DISTRICT",998,598,9,3865
"1489","07-08","West Central","Independent","ASHBY PUBLIC SCHOOL DISTRICT",79,44,0,261
"1490","07-08","West Central","Independent","BARNESVILLE PUBLIC SCHOOL DIST.",173,96,0,798
"1491","07-08","West Central","Independent","BATTLE LAKE PUBLIC SCHOOL DISTRICT",190,41,2,510
"1492","07-08","West Central","Independent","BRANDON PUBLIC SCHOOL DISTRICT",52,35,0,287
"1493","07-08","West Central","Independent","BRECKENRIDGE PUBLIC SCHOOL DISTRICT",237,130,20,769
"1494","07-08","West Central","Independent","BROWNS VALLEY PUBLIC SCHOOL DIST.",83,26,0,131
"1495","07-08","West Central","Independent","CAMPBELL-TINTAH PUBLIC SCHOOL DIST.",69,24,0,109
"1496","07-08","West Central","Independent","CHOKIO-ALBERTA PUBLIC SCHOOL DIST.",56,34,0,170
"1497","07-08","West Central","Independent","CYRUS PUBLIC SCHOOL DISTRICT",32,26,0,71
"1498","07-08","West Central","Independent","DETROIT LAKES PUBLIC SCHOOL DIST.",964,454,5,2637
"1499","07-08","West Central","Independent","DILWORTH-GLYNDON-FELTON",374,121,35,1307
"1500","07-08","West Central","Independent","EVANSVILLE PUBLIC SCHOOL DISTRICT",80,24,0,173
"1501","07-08","West Central","Independent","FERGUS FALLS PUBLIC SCHOOL DISTRICT",643,333,6,2558
"1502","07-08","West Central","Independent","FRAZEE-VERGAS PUBLIC SCHOOL DIST.",427,162,8,920
"1503","07-08","West Central","Independent","HANCOCK PUBLIC SCHOOL DISTRICT",92,48,5,262
"1504","07-08","West Central","Independent","HAWLEY PUBLIC SCHOOL DISTRICT",147,111,52,899
"1505","07-08","West Central","Independent","HENNING PUBLIC SCHOOL DISTRICT",152,57,0,364
"1506","07-08","West Central","Independent","HERMAN-NORCROSS SCHOOL DISTRICT",71,19,2,125
"1507","07-08","West Central","Independent","LAKE PARK AUDUBON SCHOOL DISTRICT",196,64,0,616
"1508","07-08","West Central","Independent","MINNEWASKA SCHOOL DISTRICT",397,234,1,1155
"1509","07-08","West Central","Independent","MOORHEAD PUBLIC SCHOOL DISTRICT",1602,775,350,5292
"1510","07-08","West Central","Independent","MORRIS PUBLIC SCHOOL DISTRICT",216,158,18,917
"1511","07-08","West Central","Independent","NEW YORK MILLS PUBLIC SCHOOL DIST.",320,102,0,738
"1512","07-08","West Central","Independent","OSAKIS PUBLIC SCHOOL DISTRICT",240,80,2,727
"1513","07-08","West Central","Independent","PARKERS PRAIRIE PUBLIC SCHOOL DIST.",205,87,0,550
"1514","07-08","West Central","Independent","PELICAN RAPIDS PUBLIC SCHOOL DIST.",424,108,239,992
"1515","07-08","West Central","Independent","PERHAM PUBLIC SCHOOL DISTRICT",596,203,20,1511
"1516","07-08","West Central","Independent","PINE POINT PUBLIC SCHOOL DISTRICT",61,22,0,64
"1517","07-08","West Central","Independent","ROTHSAY PUBLIC SCHOOL DISTRICT",97,35,1,206
"1518","07-08","West Central","Independent","ULEN-HITTERDAL PUBLIC SCHOOL DIST",85,42,0,286
"1519","07-08","West Central","Independent","UNDERWOOD PUBLIC SCHOOL DISTRICT",230,75,2,515
"1520","07-08","West Central","Independent","WEST CENTRAL AREA",301,119,2,791
"1521","07-08","West Central","Independent","WHEATON AREA PUBLIC SCHOOL DISTRICT",121,57,4,411
"1522","07-08","West Central","Service Coop","REGION 4-LAKES COUNTRY SERVICE COOP",14,0,0,49
"1523","07-08","West Central","Sped Coops","FERGUS FALLS AREA SP. ED. COOP.",17,27,0,31
"1524","07-08","West Central","Sped Coops","LAKE AGASSIZ SPECIAL ED. COOP.",1,4,0,4
"1525","07-08","West Central","Sped Coops","MIDWEST SPECIAL EDUCATION COOP.",0,0,0,0
"1526","08-09","Arrowhead","Charter","BIRCH GROVE COMMUNITY SCHOOL",20,9,0,41
"1527","08-09","Arrowhead","Charter","DULUTH PUBLIC SCHOOLS ACADEMY",461,162,0,873
"1528","08-09","Arrowhead","Charter","EAST RANGE ACADEMY OF TECH &SCIENCE",49,25,0,105
"1529","08-09","Arrowhead","Charter","GREAT EXPECTATIONS",30,11,0,60
"1530","08-09","Arrowhead","Charter","HARBOR CITY INTERNATIONAL CHARTER",73,41,0,197
"1531","08-09","Arrowhead","Charter","LAKE SUPERIOR HIGH SCHOOL",49,11,0,69
"1532","08-09","Arrowhead","Charter","MINISINAAKWAANG LEADERSHIP ACADEMY",15,8,0,28
"1533","08-09","Arrowhead","Charter","NORTH SHORE COMMUNITY SCHOOL",125,27,0,284
"1534","08-09","Arrowhead","Charter","NORTHERN LIGHTS COMMUNITY SCHOOL",71,34,0,107
"1535","08-09","Arrowhead","Cooperatives","NORTHLAND LEARNING CENTER",80,65,0,110
"1536","08-09","Arrowhead","Independent","AITKIN PUBLIC SCHOOL DISTRICT",497,158,2,1265
"1537","08-09","Arrowhead","Independent","BARNUM PUBLIC SCHOOL DISTRICT",255,119,0,732
"1538","08-09","Arrowhead","Independent","CARLTON PUBLIC SCHOOL DISTRICT",212,83,0,588
"1539","08-09","Arrowhead","Independent","CHISHOLM PUBLIC SCHOOL DISTRICT",322,113,1,747
"1540","08-09","Arrowhead","Independent","CLOQUET PUBLIC SCHOOL DISTRICT",812,345,6,2367
"1541","08-09","Arrowhead","Independent","COOK COUNTY PUBLIC SCHOOLS",186,76,3,535
"1542","08-09","Arrowhead","Independent","CROMWELL-WRIGHT PUBLIC SCHOOLS",134,50,0,307
"1543","08-09","Arrowhead","Independent","DEER RIVER PUBLIC SCHOOL DISTRICT",512,136,0,878
"1544","08-09","Arrowhead","Independent","DULUTH PUBLIC SCHOOL DISTRICT",3733,1365,39,9631
"1545","08-09","Arrowhead","Independent","ELY PUBLIC SCHOOL DISTRICT",189,76,0,560
"1546","08-09","Arrowhead","Independent","ESKO PUBLIC SCHOOL DISTRICT",122,116,2,1154
"1547","08-09","Arrowhead","Independent","EVELETH-GILBERT SCHOOL DISTRICT",460,161,0,1198
"1548","08-09","Arrowhead","Independent","FLOODWOOD PUBLIC SCHOOL DISTRICT",105,57,0,339
"1549","08-09","Arrowhead","Independent","GRAND RAPIDS PUBLIC SCHOOL DISTRICT",1309,481,2,3825
"1550","08-09","Arrowhead","Independent","GREENWAY PUBLIC SCHOOL DISTRICT",533,158,0,1132
"1551","08-09","Arrowhead","Independent","HERMANTOWN PUBLIC SCHOOL DISTRICT",229,189,0,2020
"1552","08-09","Arrowhead","Independent","HIBBING PUBLIC SCHOOL DISTRICT",880,331,4,2353
"1553","08-09","Arrowhead","Independent","HILL CITY PUBLIC SCHOOL DISTRICT",188,47,0,288
"1554","08-09","Arrowhead","Independent","INTERNATIONAL FALLS SCHOOL DISTRICT",403,183,0,1262
"1555","08-09","Arrowhead","Independent","LAKE SUPERIOR PUBLIC SCHOOL DIST.",426,193,0,1406
"1556","08-09","Arrowhead","Independent","LITTLEFORK-BIG FALLS SCHOOL DIST.",153,37,0,345
"1557","08-09","Arrowhead","Independent","MCGREGOR PUBLIC SCHOOL DISTRICT",244,62,0,392
"1558","08-09","Arrowhead","Independent","MESABI EAST SCHOOL DISTRICT",337,155,1,852
"1559","08-09","Arrowhead","Independent","MOOSE LAKE PUBLIC SCHOOL DISTRICT",230,107,1,730
"1560","08-09","Arrowhead","Independent","MOUNTAIN IRON-BUHL SCHOOL DISTRICT",234,134,0,606
"1561","08-09","Arrowhead","Independent","NASHWAUK-KEEWATIN SCHOOL DISTRICT",326,112,0,622
"1562","08-09","Arrowhead","Independent","NETT LAKE PUBLIC SCHOOL DISTRICT",57,13,0,74
"1563","08-09","Arrowhead","Independent","PROCTOR PUBLIC SCHOOL DISTRICT",426,217,5,1774
"1564","08-09","Arrowhead","Independent","SOUTH KOOCHICHING SCHOOL DISTRICT",202,71,2,375
"1565","08-09","Arrowhead","Independent","ST. LOUIS COUNTY SCHOOL DISTRICT",898,347,0,2046
"1566","08-09","Arrowhead","Independent","VIRGINIA PUBLIC SCHOOL DISTRICT",560,189,3,1509
"1567","08-09","Arrowhead","Independent","WRENSHALL PUBLIC SCHOOL DISTRICT",121,47,0,314
"1568","08-09","Central","Charter","GREAT RIVER EDUCATION CENTER",0,10,0,42
"1569","08-09","Central","Charter","KALEIDOSCOPE CHARTER SCHOOL",28,45,0,408
"1570","08-09","Central","Charter","PINE GROVE LEADERSHIP ACADEMY",0,2,0,19
"1571","08-09","Central","Charter","STRIDE ACADEMY CHARTER SCHOOL",115,27,0,249
"1572","08-09","Central","Charter","SWAN RIVER MONTESSORI CHARTER SCH",22,18,0,144
"1573","08-09","Central","Cooperatives","CENTRAL MINNESOTA JT. POWERS DIST.",4,8,0,44
"1574","08-09","Central","Ed Districts","BENTON-STEARNS ED. DISTRICT",26,36,0,36
"1575","08-09","Central","Ed Districts","WEST CENTRAL EDUCATION DISTRICT",11,22,0,49
"1576","08-09","Central","Independent","ALBANY PUBLIC SCHOOL DISTRICT",315,202,10,1550
"1577","08-09","Central","Independent","ANNANDALE PUBLIC SCHOOL DISTRICT",352,191,20,1695
"1578","08-09","Central","Independent","BECKER PUBLIC SCHOOL DISTRICT",491,318,35,2815
"1579","08-09","Central","Independent","BELGRADE-BROOTEN-ELROSA SCHOOL DIST",312,72,21,714
